Name,Domain,Indicator,Year,Month,NAME,GeogID,Measure,TType,Value,ts,measureName,indicatorName,contentAreaName
THATCHER,CD,80,2019,ALL,THATCHER,84,428,ALL,16.67,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TOHONO O'ODHAM NATION,CD,80,2019,ALL,TOHONO O'ODHAM NATION,82,428,ALL,0.2,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TUCSON CENTRAL,CD,80,2019,ALL,TUCSON CENTRAL,107,428,ALL,75.68,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TUCSON EAST,CD,80,2019,ALL,TUCSON EAST,110,428,ALL,55.97,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TUCSON ESTATES,CD,80,2019,ALL,TUCSON ESTATES,113,428,ALL,24.56,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TUCSON FOOTHILLS,CD,80,2019,ALL,TUCSON FOOTHILLS,108,428,ALL,73.3,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TUCSON SOUTH,CD,80,2019,ALL,TUCSON SOUTH,111,428,ALL,61.1,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TUCSON SOUTH EAST,CD,80,2019,ALL,TUCSON SOUTH EAST,109,428,ALL,30,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TUCSON WEST,CD,80,2019,ALL,TUCSON WEST,106,428,ALL,61.23,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
VAIL,CD,80,2019,ALL,VAIL,104,428,ALL,9.05,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
VALENCIA WEST,CD,80,2019,ALL,VALENCIA WEST,115,428,ALL,28.19,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
WHITE MOUNTAIN APACHE TRIBE,CD,80,2019,ALL,WHITE MOUNTAIN APACHE TRIBE,16,428,ALL,0,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
WILLCOX & BOWIE,CD,80,2019,ALL,WILLCOX & BOWIE,120,428,ALL,29.12,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
WILLIAMSON,CD,80,2019,ALL,WILLIAMSON,19,428,ALL,2.93,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
WINSLOW,CD,80,2019,ALL,WINSLOW,13,428,ALL,45.44,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
YUMA,CD,80,2019,ALL,YUMA,87,428,ALL,58.46,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
